"filename", "language", "Properties", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "Prisma", "CSS", "Markdown", "SQL", "comment", "blank", "total"
"c:\Dev\pos-system\prisma\migrations\20240116222016_add_mop\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Dev\pos-system\prisma\migrations\20240322195706_add_stock_and_on_order_values\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"c:\Dev\pos-system\prisma\migrations\20240407190825_add_user_model\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 5, 26
"c:\Dev\pos-system\prisma\migrations\20240419140030_add_tips\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Dev\pos-system\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 3, 9, 89
"c:\Dev\pos-system\tailwind.config.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Dev\pos-system\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Dev\pos-system\util\prisma.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 7, 7, 25
"c:\Dev\pos-system\util\store.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 16, 2, 80
"Total", "-", 1, 27, 4911, 466, 8, 969, 77, 14, 21, 81, 317, 440, 7332
